Airport Code(Deprt.),Tail Number,Departure Date
BWI,517,12/20/2017
BWI,517,12/21/2017
MCO,517,12/22/2017
MCO,517,12/23/2017
ORD,517,12/24/2017
DFW,517,12/25/2017
DFW,517,12/26/2017
FLL,517,12/27/2017
FLL,517,12/28/2017
ACY,517,12/29/2017
IAG,517,12/30/2017
MCO,517,12/31/2017
IAH,519,12/1/2017
IAH,519,12/2/2017
LAS,519,12/3/2017
TPA,519,12/4/2017
PIT,519,12/5/2017
FLL,519,12/6/2017
ORD,519,12/7/2017
BWI,519,12/8/2017
LAS,519,12/9/2017
TPA,519,12/10/2017
PIT,519,12/11/2017
PHX,519,12/12/2017
DTW,519,12/13/2017
MCO,519,12/14/2017
FLL,519,12/15/2017
PHL,519,12/16/2017
BWI,519,12/17/2017
CAK,519,12/18/2017
MCO,519,12/19/2017
MCO,519,12/21/2017
MSY,519,12/22/2017
PIT,519,12/23/2017
ACY,519,12/24/2017
IAG,519,12/25/2017
PHL,519,12/26/2017
BWI,519,12/27/2017
BWI,519,12/28/2017
EWR,519,12/29/2017
CAK,519,12/30/2017
ORD,521,12/1/2017
DFW,521,12/2/2017
DFW,521,12/3/2017
DFW,521,12/4/2017
DFW,521,12/5/2017
DTW,521,12/7/2017
DTW,521,12/8/2017
MCO,521,12/9/2017
FLL,521,12/10/2017
MSY,521,12/11/2017
LAS,521,12/12/2017
BWI,521,12/13/2017
BOS,521,12/14/2017
BWI,521,12/15/2017
BWI,521,12/16/2017
EWR,521,12/17/2017
IAH,521,12/18/2017
LAS,521,12/19/2017
ORD,521,12/20/2017
BWI,521,12/21/2017
TPA,521,12/22/2017
LAS,521,12/23/2017
TPA,521,12/24/2017
PIT,521,12/25/2017
BWI,521,12/26/2017
BOS,521,12/27/2017
BWI,521,12/28/2017
CAK,521,12/29/2017
MCO,521,12/30/2017
MCO,521,12/31/2017
TPA,522,12/1/2017
PIT,522,12/2/2017
ACY,522,12/3/2017
FLL,522,12/4/2017
PHL,522,12/5/2017
LAX,522,12/6/2017
BWI,522,12/7/2017
BOS,522,12/8/2017
BWI,522,12/9/2017
CAK,522,12/10/2017
MCO,522,12/11/2017
PHL,522,12/12/2017
ACY,522,12/13/2017
LAX,522,12/14/2017
BWI,522,12/15/2017
BOS,522,12/16/2017
BWI,522,12/17/2017
EWR,522,12/18/2017
IAH,522,12/19/2017
IAH,522,12/20/2017
IAH,522,12/21/2017
LAS,522,12/22/2017
